long,lat,name,description,fid,ID,ID_SHAPE,ID_PART,ID_POINT,CLOCKWISE,LAKE,layer,path
-0.534009,52.863413,C111,,34,8/0/1,8,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.533515,52.862565,C112,,35,8/0/2,8,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.534937,52.862721,C113,,36,8/0/3,8,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.535302,52.858787,,,37,0/0/0,0,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.534374,52.859479,,,38,0/0/1,0,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.53388,52.858631,,,39,0/0/2,0,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.536738,52.858945,,,40,1/0/0,1,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.53581,52.859637,,,41,1/0/1,1,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.536738,52.858945,,,42,1/0/3,1,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.536235,52.858095,,,43,2/0/0,2,0,0,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.535307,52.858786,C0,,44,2/0/1,2,0,1,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.534813,52.857938,,,45,2/0/2,2,0,2,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.536235,52.858095,,,46,2/0/3,2,0,3,Y,N,real-centre,/home/will/Documents/field_sites/knepp-etal/Shapefiles/real-centre.shp|layername=real-centre
-0.523321,52.864232,,,47,0/0/0,0,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.524249,52.86354,NE113,,48,0/0/1,0,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.524665,52.864494,NE111,,49,0/0/2,0,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.523321,52.864232,NE112,,50,0/0/3,0,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.520488,52.863917,,,51,1/0/0,1,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.521416,52.863225,,,52,1/0/1,1,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.52191,52.864074,,,53,1/0/2,1,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.520488,52.863917,NE122,,54,1/0/3,1,0,3,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.522329,52.86253,,,55,2/0/0,2,0,0,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.523257,52.861838,NE133,,56,2/0/1,2,0,1,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
-0.523751,52.862687,NE131,,57,2/0/2,2,0,2,Y,N,sites-2,/home/will/Documents/field_sites/knepp-etal/Shapefiles/sites-2.shp|layername=sites-2
